0 1,0 2,0 3,0 4,0 5,1 1,1 2,1 3,1 4,1 5,2 1,2 2,2 3,2 4,2 5,3 1,3 2,3 3,3 4,3 5,4 1,4 2,4 3,4 4,4 5,5 1,5 2,5 3,5 4,5 5,6 1,6 2,6 3,6 4,6 5,7 1,7 2,7 3,7 4,7 5,8 1,8 2,8 3,8 4,8 5,9 1,9 2,9 3,9 4,9 5
0.03507,0.01896,0.02085,0.01864,0.04171,0.01043,0.00979,0.0079,0.01359,0.01201,0.01232,0.02022,0.01074,0.006,0.05403,0.01738,0.0158,0.01675,0.02686,0.01485,0.01327,0.01137,0.04929,0.00885,0.00821,0.04613,0.00348,0.04044,0.02243,0.04676,0.01864,0.00348,0.05497,0.02812,0.05055,0.07298,0.03791,0.01327,0.01675,0.02117,0.09858,0.04613,0.10679,0.04866,0.08847,0.10489,0.03633,0.08625,0.0278,0.01738
0.03855,0.0158,0.01864,0.02338,0.0455,0.00916,0.01074,0.00821,0.01137,0.01327,0.01264,0.0237,0.00758,0.00506,0.05498,0.01611,0.01517,0.01517,0.02401,0.01517,0.00885,0.01485,0.04992,0.00853,0.01453,0.04929,0.00348,0.04613,0.02212,0.04897,0.01738,0.00284,0.05371,0.03096,0.04992,0.09573,0.04139,0.01327,0.01517,0.01832,0.08625,0.04265,0.10616,0.04676,0.07962,0.11658,0.05055,0.08594,0.02812,0.01548
0.03886,0.01864,0.01675,0.01643,0.04739,0.00948,0.01232,0.01074,0.01169,0.01137,0.01643,0.01991,0.00916,0.00316,0.04676,0.01548,0.01927,0.0158,0.01864,0.01611,0.00979,0.01232,0.05245,0.01011,0.00979,0.05118,0.00506,0.04581,0.02464,0.0515,0.0158,0.00284,0.05908,0.03065,0.04834,0.09289,0.03949,0.01485,0.01769,0.01611,0.09384,0.03981,0.11058,0.05245,0.08341,0.11437,0.04771,0.09131,0.03002,0.02812
0.04171,0.0199,0.02275,0.01738,0.04234,0.006,0.01106,0.00885,0.00979,0.01043,0.0139,0.02306,0.01137,0.00474,0.04708,0.0139,0.01548,0.01517,0.02559,0.01611,0.00885,0.01232,0.05561,0.01074,0.01295,0.05182,0.00316,0.04802,0.02654,0.05182,0.01106,0.00221,0.06224,0.03002,0.05782,0.09415,0.04265,0.01074,0.01359,0.01769,0.09415,0.04581,0.10426,0.04392,0.08404,0.10963,0.04866,0.08878,0.03128,0.02938
0.03886,0.02054,0.01832,0.01991,0.04107,0.00758,0.01358,0.00948,0.01074,0.01106,0.01327,0.02212,0.01359,0.00569,0.04708,0.01453,0.01959,0.01548,0.02654,0.01327,0.01043,0.01106,0.05434,0.01011,0.00948,0.05276,0.00284,0.04645,0.02464,0.04866,0.01769,0.00126,0.06256,0.02844,0.05308,0.09194,0.04107,0.01074,0.01801,0.02085,0.09384,0.0436,0.09952,0.04802,0.0733,0.11564,0.04708,0.07488,0.03096,0.03033
0.04013,0.01833,0.02022,0.01769,0.04392,0.01201,0.01232,0.01106,0.01264,0.00979,0.01232,0.02054,0.01137,0.00442,0.04487,0.0139,0.0139,0.01422,0.02654,0.01232,0.01074,0.00979,0.05181,0.01327,0.01169,0.04897,0.00379,0.04897,0.0218,0.04202,0.01548,-9.48E-04,0.05877,0.02717,0.05814,0.09605,0.04202,0.01074,0.01706,0.01769,0.10174,0.04202,0.10489,0.04897,0.07804,0.11248,0.04676,0.08847,0.0297,0.02338
0.03949,0.01927,0.01896,0.01801,0.04234,0.00885,0.01548,0.01137,0.01074,0.01675,0.01485,0.02401,0.01106,0.00695,0.04771,0.01453,0.01517,0.0158,0.02148,0.01517,0.01169,0.01074,0.05403,0.01295,0.01074,0.04771,3.16E-04,0.04423,0.02622,0.04676,0.01706,0.00221,0.06319,0.02938,0.05624,0.08752,0.03823,0.01327,0.01927,0.01706,0.09731,0.04297,0.10079,0.04518,0.08594,0.10963,0.04644,0.08278,0.03002,0.02749
0.04329,0.02085,0.0218,0.02117,0.04455,0.00758,0.01485,0.01011,0.01232,0.01422,0.01137,0.02306,0.01011,0.00442,0.05087,0.01453,0.01517,0.01358,0.02496,0.0158,0.00727,0.01264,0.05276,0.00948,0.00979,0.04929,0.00474,0.04455,0.02591,0.05403,0.0158,0,0.06066,0.02559,0.0594,0.09384,0.03223,0.01327,0.01643,0.02433,0.09005,0.03949,0.10079,0.04392,0.08467,0.1109,0.04392,0.08436,0.03412,0.02559
0.03728,0.0218,0.01801,0.02054,0.03855,0.01043,0.01517,0.01264,0.01516,0.01232,0.01643,0.01991,0.00979,0.00411,0.04644,0.01485,0.01327,0.01232,0.0218,0.01675,0.01264,0.01074,0.05024,0.00916,0.01137,0.04265,0.00411,0.04392,0.02528,0.05371,0.01611,0.00253,0.06793,0.03223,0.06382,0.09005,0.03886,0.01295,0.01643,0.01643,0.097,0.04044,0.10268,0.04802,0.08341,0.11437,0.04423,0.07804,0.02622,0.02148
0.03855,0.01675,0.01706,0.02306,0.03539,0.00632,0.0139,0.01043,0.01327,0.01485,0.01453,0.02243,0.01169,0.00569,0.05339,0.01264,0.01548,0.01611,0.01832,0.01327,0.01106,0.00916,0.05656,0.00979,0.01295,0.0455,0.00348,0.04423,0.02433,0.04518,0.01896,9.48E-04,0.06224,0.03191,0.06351,0.08531,0.03317,0.01232,0.01611,0.01832,0.0891,0.04139,0.09858,0.0455,0.08341,0.10363,0.04139,0.08152,0.02528,0.01706
